,roomName,deskNumber,blockedFrom,roomID,blockedByIdAnonym,blockedUntil,bookedAt,userId,userName
0,"Raum ""Prüfening""",1, null,1, null, null, 2024-04-04,85,Hassan Karim
1,"Raum ""Prüfening""",1, null,1, null, null, 2023-10-20,64,Oscar Martinez
2,"Raum ""Prüfening""",1, null,1, null, null, 2024-03-04,58,Noah Petrović
3,"Raum ""Prüfening""",1, null,1, null, null, 2024-03-11,54,Elijah Mendes
4,"Raum ""Prüfening""",1, null,1, null, null, 2024-07-16,52,Felix Müller
5,"Raum ""Prüfening""",1, null,1, null, null, 2023-07-05,41,Lucas Dubois
6,"Raum ""Prüfening""",1, null,1, null, null, 2022-10-06,40,Aisha Khan
7,"Raum ""Prüfening""",1, null,1, null, null, 2023-04-25,39,Emma Wagner
8,"Raum ""Prüfening""",1, null,1, null, null, 2023-10-04,34,Luka Novak
9,"Raum ""Prüfening""",1, null,1, null, null, 2022-08-17,31,Maria Svensson
10,"Raum ""Prüfening""",1, null,1, null, null, 2022-08-30,31,Maria Svensson
11,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-03,31,Maria Svensson
12,"Raum ""Prüfening""",1, null,1, null, null, 2023-05-05,31,Maria Svensson
13,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-19,30,Matteo Russo
14,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-27,30,Matteo Russo
15,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-01,29,Isabella Fernandez
16,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-06,29,Isabella Fernandez
17,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-09,29,Isabella Fernandez
18,"Raum ""Prüfening""",1, null,1, null, null, 2023-03-09,29,Isabella Fernandez
19,"Raum ""Prüfening""",1, null,1, null, null, 2023-06-16,29,Isabella Fernandez
20,"Raum ""Prüfening""",1, null,1, null, null, 2022-08-25,28,Ahmed Hassan
21,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-09,28,Ahmed Hassan
22,"Raum ""Prüfening""",1, null,1, null, null, 2022-10-24,28,Ahmed Hassan
23,"Raum ""Prüfening""",1, null,1, null, null, 2022-12-16,28,Ahmed Hassan
24,"Raum ""Prüfening""",1, null,1, null, null, 2023-01-05,28,Ahmed Hassan
25,"Raum ""Prüfening""",1, null,1, null, null, 2023-01-12,28,Ahmed Hassan
26,"Raum ""Prüfening""",1, null,1, null, null, 2023-04-28,28,Ahmed Hassan
27,"Raum ""Prüfening""",1, null,1, null, null, 2022-08-09,26,Noah Yamamoto
28,"Raum ""Prüfening""",1, null,1, null, null, 2022-08-11,26,Noah Yamamoto
29,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-14,26,Noah Yamamoto
30,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-29,26,Noah Yamamoto
31,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-30,26,Noah Yamamoto
32,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-02,25,Emily Nguyen
33,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-22,25,Emily Nguyen
34,"Raum ""Prüfening""",1, null,1, null, null, 2023-05-02,25,Emily Nguyen
35,"Raum ""Prüfening""",1, null,1, null, null, 2023-07-13,25,Emily Nguyen
36,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-07,24,Oscar Cruz
37,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-22,24,Oscar Cruz
38,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-30,24,Oscar Cruz
39,"Raum ""Prüfening""",1, null,1, null, null, 2022-10-19,24,Oscar Cruz
40,"Raum ""Prüfening""",1, null,1, null, null, 2022-10-27,24,Oscar Cruz
41,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-15,24,Oscar Cruz
42,"Raum ""Prüfening""",1, null,1, null, null, 2022-12-06,24,Oscar Cruz
43,"Raum ""Prüfening""",1, null,1, null, null, 2022-12-08,24,Oscar Cruz
44,"Raum ""Prüfening""",1, null,1, null, null, 2023-02-02,24,Oscar Cruz
45,"Raum ""Prüfening""",1, null,1, null, null, 2022-08-23,23,Hannah Carter
46,"Raum ""Prüfening""",1, null,1, null, null, 2022-09-28,23,Hannah Carter
47,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-02,23,Hannah Carter
48,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-08,23,Hannah Carter
49,"Raum ""Prüfening""",1, null,1, null, null, 2023-03-02,23,Hannah Carter
50,"Raum ""Prüfening""",1, null,1, null, null, 2023-05-03,23,Hannah Carter
51,"Raum ""Prüfening""",1, null,1, null, null, 2022-10-18,22,Muhammad Ali
52,"Raum ""Prüfening""",1, null,1, null, null, 2022-11-28,22,Muhammad Ali
53,"Raum ""Prüfening""",1, null,1, null, null, 2023-01-10,22,Muhammad Ali
54,"Raum ""Prüfening""",1, null,1, null, null, 2024-04-11,16,Alexander Kim
55,"Raum ""Prüfening""",3, null,1, null, null, 2024-09-23,103,Jonas Lee
56,"Raum ""Prüfening""",3, null,1, null, null, 2024-09-26,98,Hiro Tanaka
57,"Raum ""Prüfening""",3, null,1, null, null, 2024-07-17,97,Ines Costa
58,"Raum ""Prüfening""",3, null,1, null, null, 2024-09-19,96,Lucas Müller
59,"Raum ""Prüfening""",3, null,1, null, null, 2024-06-05,95,Amara Okafor
