bookingId,deskNumber,blockedFrom,roomId,userId,blockedUntil,userName,roomName,variableBooking
5,1, 2023-09-25,2,,unlimited,,"Raum ""Stadtamhof""",0
40,1, 2024-09-24,9,179.0,unlimited,Clara Müller,"Ram ""Weichs""",0
13,1, 2024-03-14,4,177.0,unlimited,Mia Santos,"Raum ""Dechbetten""",0
10,2, 2024-12-19,3,174.0,unlimited,Sara Berger,"Raum ""Schwabelweis""",0
53,3, 2025-02-06,12,173.0,unlimited,Yuki Nakamura,"Raum ""Westenviertel""",0
30,3, 2024-04-05,6,171.0,unlimited,Olivia Fernandez,"Raum ""Steinweg-Pfaffenstein""",0
33,2, 2024-09-09,7,169.0,unlimited,Amelie Schulz,"Raum ""Kasernenviertel""",0
51,1, 2025-02-06,12,166.0,unlimited,Hiro Tanaka,"Raum ""Westenviertel""",0
54,4, 2025-02-06,12,164.0,unlimited,Leo Torres,"Raum ""Westenviertel""",0
17,5, 2024-01-23,4,164.0, 2025-01-31,Leo Torres,"Raum ""Dechbetten""",0
31,4, 2024-08-08,6,163.0,unlimited,Sofia Mendes,"Raum ""Steinweg-Pfaffenstein""",0
24,7, 2023-08-24,5,163.0,unlimited,Sofia Mendes,"Raum ""Reinhausen""",0
43,4, 2024-09-24,9,162.0,unlimited,Liam Bauer,"Ram ""Weichs""",0
42,3, 2024-09-24,9,160.0,unlimited,Rafael Santos,"Ram ""Weichs""",0
29,2, 2022-08-07,6,159.0,unlimited,Fatima Jafari,"Raum ""Steinweg-Pfaffenstein""",0
2,2, 2022-08-03,1,157.0,unlimited,Elena Dimitrov,"Raum ""Prüfening""",0
9,1, 2022-08-03,3,153.0,unlimited,Maria Costa,"Raum ""Schwabelweis""",0
44,1, 2025-01-31,10,152.0, 2025-02-01,Oliver Moretti,"Raum ""Innenstadt""",0
45,2, 2025-01-31,10,152.0, 2025-02-01,Oliver Moretti,"Raum ""Innenstadt""",0
7,3, 2023-09-25,2,152.0, 2025-02-01,Oliver Moretti,"Raum ""Stadtamhof""",0
46,3, 2025-01-31,10,152.0, 2025-02-01,Oliver Moretti,"Raum ""Innenstadt""",0
47,4, 2025-01-31,10,152.0, 2025-02-01,Oliver Moretti,"Raum ""Innenstadt""",0
26,9, 2022-10-07,5,150.0,unlimited,Elias Müller,"Raum ""Reinhausen""",0
16,4, 2022-08-07,4,145.0,unlimited,Luca Wagner,"Raum ""Dechbetten""",0
25,8, 2024-01-31,5,144.0,unlimited,Aisha Ali,"Raum ""Reinhausen""",0
48,1, 2025-02-03,11,142.0,unlimited,Chloe Dubois,"Raum ""Ostenviertel""",0
11,3, 2023-05-09,3,142.0,unlimited,Chloe Dubois,"Raum ""Schwabelweis""",0
36,1, 2023-06-26,8,140.0,unlimited,Elena Bashir,"Raum ""Galgenberg""",0
49,2, 2025-02-03,11,138.0,unlimited,Mia Moretti,"Raum ""Ostenviertel""",0
8,4, 2024-05-16,2,137.0,unlimited,Daniel Park,"Raum ""Stadtamhof""",0
21,4, 2023-09-27,5,135.0,unlimited,Hiroshi Nakamura,"Raum ""Reinhausen""",0
20,3, 2024-08-07,5,130.0,unlimited,Sofia Garcia,"Raum ""Reinhausen""",0
